Africa/Ceuta,1,1,ES,14,CET,CEST,
Africa/Douala,1,0,CM,19,WAT,,
Africa/Kinshasa,1,0,CD,29,WAT,,
Africa/Lagos,1,0,NG,30,WAT,,
Africa/Libreville,1,0,GA,31,WAT,,
Africa/Luanda,1,0,AO,33,WAT,,
Africa/Malabo,1,0,GQ,36,WAT,,
Africa/Ndjamena,1,0,TD,43,WAT,,
Africa/Niamey,1,0,NE,44,WAT,,
Africa/Porto-Novo,1,0,BJ,47,WAT,,
Africa/Tunis,1,0,TN,50,CET,,
Arctic/Longyearbyen,1,1,SJ,209,CET,CEST,
Europe/Amsterdam,1,1,NL,310,CET,CEST,
Europe/Andorra,1,1,AD,311,CET,CEST,
Europe/Belgrade,1,1,RS,313,CET,CEST,
Europe/Berlin,1,1,DE,314,CET,CEST,
Europe/Bratislava,1,1,SK,315,CET,CEST,
Europe/Brussels,1,1,BE,316,CET,CEST,
Europe/Budapest,1,1,HU,318,CET,CEST,
Europe/Busingen,1,1,DE,319,CET,CEST,
Europe/Copenhagen,1,1,DK,321,CET,CEST,
Europe/Gibraltar,1,1,GI,323,CET,CEST,
Europe/Ljubljana,1,1,SI,332,CET,CEST,
Europe/Luxembourg,1,1,LU,334,CET,CEST,
Europe/Madrid,1,1,ES,335,CET,CEST,
Europe/Malta,1,1,MT,336,CET,CEST,
Europe/Monaco,1,1,MC,339,CET,CEST,
Europe/Oslo,1,1,NO,341,CET,CEST,
Europe/Paris,1,1,FR,342,CET,CEST,
Europe/Podgorica,1,1,ME,343,CET,CEST,
Europe/Prague,1,1,CZ,344,CET,CEST,
Europe/Rome,1,1,IT,346,CET,CEST,
Europe/San_Marino,1,1,SM,348,CET,CEST,
Europe/Sarajevo,1,1,BA,349,CET,CEST,
Europe/Skopje,1,1,MK,351,CET,CEST,
Europe/Stockholm,1,1,SE,353,CET,CEST,
Europe/Tirane,1,1,AL,355,CET,CEST,
Europe/Vaduz,1,1,LI,357,CET,CEST,
Europe/Vatican,1,1,VA,358,CET,CEST,
Europe/Vienna,1,1,AT,359,CET,CEST,
Europe/Warsaw,1,1,PL,362,CET,CEST,
Europe/Zagreb,1,1,HR,363,CET,CEST,
Europe/Zurich,1,1,CH,365,CET,CEST,
Africa/Blantyre,2,0,MW,9,CAT,,
Africa/Bujumbura,2,0,BI,11,CAT,,
Africa/Cairo,2,0,EG,12,EET,,
Africa/Gaborone,2,0,BW,22,CAT,,
Africa/Harare,2,0,ZW,23,CAT,,
Africa/Johannesburg,2,0,ZA,24,SAST,,
Africa/Kigali,2,0,RW,28,CAT,,
Africa/Lubumbashi,2,0,CD,34,CAT,,
Africa/Lusaka,2,0,ZM,35,CAT,,
Africa/Maputo,2,0,MZ,37,CAT,,
Africa/Maseru,2,0,LS,38,SAST,,
Africa/Mbabane,2,0,SZ,39,SAST,,
Africa/Tripoli,2,0,LY,49,EET,,
Africa/Windhoek,2,-1,NA,51,WAT,WAST,
Asia/Amman,2,1,JO,212,AST,ADT,
Asia/Beirut,2,1,LB,221,EET,EEST,
Asia/Damascus,2,1,SY,227,EET,EEST,
Asia/Gaza,2,1,PS,232,EET,EEST,
Asia/Hebron,2,1,PS,233,EET,EEST,
Asia/Jerusalem,2,1,IL,240,IST,IDT,
Asia/Nicosia,2,1,CY,256,EET,EEST,
Europe/Athens,2,1,GR,312,EET,EEST,
Europe/Bucharest,2,1,RO,317,EET,EEST,
Europe/Chisinau,2,1,MD,320,EET,EEST,
Europe/Helsinki,2,1,FI,325,EET,EEST,
Europe/Istanbul,2,1,TR,327,EET,EEST,
Europe/Kaliningrad,2,0,RU,329,EET,,
Europe/Kiev,2,1,UA,330,EET,EEST,
Europe/Mariehamn,2,1,AX,337,EET,EEST,
Europe/Riga,2,1,LV,345,EET,EEST,
Europe/Sofia,2,1,BG,352,EET,EEST,
Europe/Tallinn,2,1,EE,354,EET,EEST,
Europe/Uzhgorod,2,1,UA,356,EET,EEST,
Europe/Vilnius,2,1,LT,360,EET,EEST,
Europe/Zaporozhye,2,1,UA,364,EET,EEST,
Africa/Addis_Ababa,3,0,ET,2,EAT,,
Africa/Asmara,3,0,ER,4,EAT,,
Africa/Dar_es_Salaam,3,0,TZ,17,EAT,,
Africa/Djibouti,3,0,DJ,18,EAT,,
Africa/Juba,3,0,SS,25,EAT,,
Africa/Kampala,3,0,UG,26,EAT,,
Africa/Khartoum,3,0,SD,27,EAT,,
Africa/Mogadishu,3,0,SO,40,EAT,,
Africa/Nairobi,3,0,KE,42,EAT,,
Antarctica/Syowa,3,0,AQ,206,SYOT,,
Asia/Aden,3,0,YE,210,AST,,
Asia/Baghdad,3,0,IQ,217,AST,,
Asia/Bahrain,3,0,BH,218,AST,,
Asia/Kuwait,3,0,KW,250,AST,,
Asia/Qatar,3,0,QA,264,AST,,
Asia/Riyadh,3,0,SA,267,AST,,
Europe/Minsk,3,0,BY,338,FET,,
Europe/Moscow,3,0,RU,340,MSK,,
Europe/Simferopol,3,0,RU,350,MSK,,
Europe/Volgograd,3,0,RU,361,MSK,,
Indian/Antananarivo,3,0,MG,366,EAT,,
Indian/Comoro,3,0,KM,370,EAT,,
Indian/Mayotte,3,0,YT,375,EAT,,
Asia/Tehran,3.5,1,IR,277,IRST,IRDT,
Asia/Baku,4,1,AZ,219,AZT,AZST,
Asia/Dubai,4,0,AE,230,GST,,
Asia/Muscat,4,0,OM,255,GST,,
Asia/Tbilisi,4,0,GE,276,GET,,
Asia/Yerevan,4,0,AM,287,AMT,,
Europe/Samara,4,0,RU,347,SAMT,,
Indian/Mahe,4,0,SC,372,SCT,,
Indian/Mauritius,4,0,MU,374,MUT,,
Indian/Reunion,4,0,RE,376,RET,,
Asia/Kabul,4.5,0,AF,241,AFT,,
Antarctica/Mawson,5,0,AQ,202,MAWT,,
Asia/Aqtau,5,0,KZ,214,AQTT,,
Asia/Aqtobe,5,0,KZ,215,AQTT,,
Asia/Ashgabat,5,0,TM,216,TMT,,
Asia/Dushanbe,5,0,TJ,231,TJT,,
