Asia/Aqtobe,5,0,KZ,215,AQTT,AQTT
Asia/Ashgabat,5,0,TM,216,TMT,TMT
Asia/Baghdad,3,0,IQ,217,AST,AST
Asia/Bahrain,3,0,BH,218,AST,AST
Asia/Baku,4,1,AZ,219,AZT,AZST
Asia/Bangkok,7,0,TH,220,ICT,ICT
Asia/Beirut,2,1,LB,221,EET,EEST
Asia/Bishkek,6,0,KG,222,KGT,KGT
Asia/Brunei,8,0,BN,223,BNT,BNT
Asia/Chita,8,0,RU,224,IRKT,IRKT
Asia/Choibalsan,8,1,MN,225,CHOT,CHOST
Asia/Colombo,5.5,0,LK,226,IST,IST
Asia/Damascus,2,1,SY,227,EET,EEST
Asia/Dhaka,6,0,BD,228,BDT,BDT
Asia/Dili,9,0,TL,229,TLT,TLT
Asia/Dubai,4,0,AE,230,GST,GST
Asia/Dushanbe,5,0,TJ,231,TJT,TJT
Asia/Gaza,2,1,PS,232,EET,EEST
Asia/Hebron,2,1,PS,233,EET,EEST
Asia/Ho_Chi_Minh,7,0,VN,234,ICT,ICT
Asia/Hong_Kong,8,0,HK,235,HKT,HKT
Asia/Hovd,7,1,MN,236,HOVT,HOVST
Asia/Irkutsk,8,0,RU,237,IRKT,IRKT
Asia/Jakarta,7,0,ID,238,WIB,WIB
Asia/Jayapura,9,0,ID,239,WIT,WIT
Asia/Jerusalem,2,1,IL,240,IST,IDT
Asia/Kabul,4.5,0,AF,241,AFT,AFT
Asia/Kamchatka,12,0,RU,242,PETT,PETT
Asia/Karachi,5,0,PK,243,PKT,PKT
Asia/Kathmandu,5.75,0,NP,244,NPT,NPT
Asia/Khandyga,9,0,RU,245,YAKT,YAKT
Asia/Kolkata,5.5,0,IN,246,IST,IST
Asia/Krasnoyarsk,7,0,RU,247,KRAT,KRAT
Asia/Kuala_Lumpur,8,0,MY,248,MYT,MYT
Asia/Kuching,8,0,MY,249,MYT,MYT
Asia/Kuwait,3,0,KW,250,AST,AST
Asia/Macau,8,0,MO,251,CST,CST
Asia/Magadan,10,0,RU,252,MAGT,MAGT
Asia/Makassar,8,0,ID,253,WITA,WITA
Asia/Manila,8,0,PH,254,PHT,PHT
Asia/Muscat,4,0,OM,255,GST,GST
Asia/Nicosia,2,1,CY,256,EET,EEST
Asia/Novokuznetsk,7,0,RU,257,KRAT,KRAT
Asia/Novosibirsk,6,0,RU,258,NOVT,NOVT
Asia/Omsk,6,0,RU,259,OMST,OMST
Asia/Oral,5,0,KZ,260,ORAT,ORAT
Asia/Phnom_Penh,7,0,KH,261,ICT,ICT
Asia/Pontianak,7,0,ID,262,WIB,WIB
Asia/Pyongyang,9,0,KP,263,KST,KST
